Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1961","1961","ha","92239016","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1961","1961","hg/ha","9473","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1961","1961","tonnes","87376496","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1962","1962","ha","93852008","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1962","1962","hg/ha","9297","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1962","1962","tonnes","87257552","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1963","1963","ha","93571016","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1963","1963","hg/ha","9658","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1963","1963","tonnes","90373008","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1964","1964","ha","94306008","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1964","1964","hg/ha","9936","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1964","1964","tonnes","93706000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1965","1965","ha","93277016","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1965","1965","hg/ha","8544","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1965","1965","tonnes","79699504","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1966","1966","ha","92729816","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1966","1966","hg/ha","8642","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1966","1966","tonnes","80137608","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1967","1967","ha","96062008","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1967","1967","hg/ha","9937","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1967","1967","tonnes","95453504","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1968","1968","ha","98822912","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1968","1968","hg/ha","10366","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1968","1968","tonnes","102443708","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1969","1969","ha","100872596","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1969","1969","hg/ha","10537","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1969","1969","tonnes","106291244","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1970","1970","ha","100377004","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1970","1970","hg/ha","11348","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1970","1970","tonnes","113909504","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1971","1971","ha","99673104","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1971","1971","hg/ha","11361","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1971","1971","tonnes","113238296","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1972","1972","ha","98043804","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1972","1972","hg/ha","11078","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1972","1972","tonnes","108615456","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1973","1973","ha","103788908","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1973","1973","hg/ha","11528","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1973","1973","tonnes","119648216","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1974","1974","ha","99388716","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1974","1974","hg/ha","10745","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1974","1974","tonnes","106793000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1975","1975","ha","101366908","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1975","1975","hg/ha","12608","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1975","1975","tonnes","127807800","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1976","1976","ha","101465120","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1976","1976","hg/ha","11987","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1976","1976","tonnes","121625108","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1977","1977","ha","103723620","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1977","1977","hg/ha","13311","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1977","1977","tonnes","138062904","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1978","1978","ha","104340004","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1978","1978","hg/ha","13702","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1978","1978","tonnes","142964696","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1979","1979","ha","103473312","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1979","1979","hg/ha","12223","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1979","1979","tonnes","126470304","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1980","1980","ha","104067000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1980","1980","hg/ha","13500","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1980","1980","tonnes","140490600","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1981","1981","ha","105508300","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1981","1981","hg/ha","13988","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1981","1981","tonnes","147583816","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1982","1982","ha","101083696","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1982","1982","hg/ha","13464","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1982","1982","tonnes","136101404","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1983","1983","ha","106613208","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1983","1983","hg/ha","15644","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1983","1983","tonnes","166781704","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1984","1984","ha","105175600","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1984","1984","hg/ha","15638","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1984","1984","tonnes","164477600","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1985","1985","ha","104056596","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1985","1985","hg/ha","15922","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1985","1985","tonnes","165682196","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1986","1986","ha","104049212","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1986","1986","hg/ha","15854","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1986","1986","tonnes","164955216","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1987","1987","ha","98573604","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1987","1987","hg/ha","15837","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1987","1987","tonnes","156114500","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1988","1988","ha","103542716","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1988","1988","hg/ha","17758","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1988","1988","tonnes","183867008","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1989","1989","ha","104055700","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1989","1989","hg/ha","19164","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1989","1989","tonnes","199413216","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1990","1990","ha","102536512","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1990","1990","hg/ha","18912","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1990","1990","tonnes","193919312","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1991","1991","ha","100243408","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1991","1991","hg/ha","19263","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1991","1991","tonnes","193101196","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1992","1992","ha","99499504","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1992","1992","hg/ha","20248","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1992","1992","tonnes","201468404","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1993","1993","ha","100066500","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1993","1993","hg/ha","20849","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1993","1993","tonnes","208626900","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1994","1994","ha","100184200","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1994","1994","hg/ha","21155","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1994","1994","tonnes","211941400","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1995","1995","ha","99450800","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1995","1995","hg/ha","21117","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1995","1995","tonnes","210012500","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1996","1996","ha","100300000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1996","1996","hg/ha","21810","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1996","1996","tonnes","218750900","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1997","1997","ha","100167200","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1997","1997","hg/ha","22286","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1997","1997","tonnes","223232400","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1998","1998","ha","100904200","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1998","1998","hg/ha","22484","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1998","1998","tonnes","226877000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1999","1999","ha","102091700","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1999","1999","hg/ha","23137","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1999","1999","tonnes","236205608","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2000","2000","ha","102402400","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2000","2000","hg/ha","22942","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2000","2000","tonnes","234931192","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2001","2001","ha","100271100","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2001","2001","hg/ha","24231","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2001","2001","tonnes","242963796","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2002","2002","ha","94470900","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2002","2002","hg/ha","21873","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2002","2002","tonnes","206636708","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2003","2003","ha","98603100","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2003","2003","hg/ha","23994","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2003","2003","tonnes","236592700","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2004","2004","ha","97805700","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2004","2004","hg/ha","23500","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2004","2004","tonnes","229845504","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2005","2005","ha","99519200","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2005","2005","hg/ha","24116","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2005","2005","tonnes","239997492","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2006","2006","ha","99236800","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2006","2006","hg/ha","24465","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2006","2006","tonnes","242785588","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2007","2007","ha","100833500","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2007","2007","hg/ha","25833","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2007","2007","tonnes","260485904","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2008","2008","ha","101155500","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2008","2008","hg/ha","26379","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2008","2008","tonnes","266835300","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2009","2009","ha","97171600","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2009","2009","hg/ha","25808","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2009","2009","tonnes","250783392","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2010","2010","ha","100075800","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2010","2010","hg/ha","26764","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2010","2010","tonnes","267838308","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2011","2011","ha","100625700","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2011","2011","hg/ha","28607","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2011","2011","tonnes","287860000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2012","2012","ha","98969000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2012","2012","hg/ha","29635","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2012","2012","tonnes","293290000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2013","2013","ha","99299950","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2013","2013","hg/ha","29699","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2013","2013","tonnes","294909510","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2014","2014","ha","99988240","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2014","2014","hg/ha","29604","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2014","2014","tonnes","296010000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2015","2015","ha","99533000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2015","2015","hg/ha","28567","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2015","2015","tonnes","284333000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2016","2016","ha","99020000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2016","2016","hg/ha","30080","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2016","2016","tonnes","297850000","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2017","2017","ha","99566890","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2017","2017","hg/ha","31213","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2017","2017","tonnes","310782330","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2018","2018","ha","98093520","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2018","2018","hg/ha","32781","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2018","2018","tonnes","321556400","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2019","2019","ha","95244530","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2019","2019","hg/ha","34049","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2019","2019","tonnes","324300640","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","2020","2020","ha","102057166","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","2020","2020","hg/ha","32828","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","2020","2020","tonnes","335035000","E","Estimated value"
